,Artist,Top Track,index,Genre,Popularity,Image-URL-L
0,Crisman,Surprise,43,Indie,29.0,https://f4.bcbits.com/img/a1802704519_10.jpg
1,Thad Kopec,Bereft of the Myth,1,Indie,18.0,https://f4.bcbits.com/img/a4209830442_10.jpg
2,Harmony Woods,Negro y Azul,338,Rock,20.0,https://i.scdn.co/image/ab67616d0000b2738119cade0bbeaa1ad19ee89a
3,Go Cactus,Something in Your Drink,34,Indie,7.0,https://f4.bcbits.com/img/a2553132559_65
4,Oceanator,I Would Find You,35,Indie,24.0,https://images.genius.com/eb480146fe44fb1c464b48ce3b4d0250.1000x1000x1.jpg
5,Ganser,Avoidance,301,Rock,17.0,https://i.scdn.co/image/ab67616d0000b2730a78b6189c893595d32bd34a
6,Harmony Woods,Jenkintown-Wyncote,336,Rock,20.0,https://i.scdn.co/image/ab67616d00001e02ff08b76b23200cfe43d14f0e
7,Infinity Crush,Tiny Souls in My Eyelashes,332,Rock,24.0,https://i.scdn.co/image/ab67616d0000b2737e6318c797a887f8bb837f7d
8,Bunny Lowe,Strawberry,22,Indie,14.0,https://i.scdn.co/image/ab67616d00001e025c3f0856d14b247eb0faf4df
9,Foals,Spanish Sahara,79,Indie,66.0,https://i1.sndcdn.com/artworks-9WhFB2Xz8iKZ-0-t500x500.png
10,Wet Leg,Being In Love,82,Indie,66.0,https://i.scdn.co/image/ab67616d0000b273ea1126a33b0fb88e79915262
11,U2,One,382,Rock,81.0,https://i.scdn.co/image/ab67616d0000b27337cd18af5725b9cad0a5ab53
12,Dehd,Flying,359,Rock,52.0,https://i.scdn.co/image/ab67616d0000b273699d1e0694f6e11de5b08f7b
13,Metallica,For Whom The Bell Tolls (Remastered),378,Rock,85.0,https://i.scdn.co/image/ab67616d0000b2739ad3e9959f48d513886b8933
14,Joyce Manor,Catalina Fight Song,365,Rock,57.0,https://i.scdn.co/image/ab67616d0000b273831b901fe12744c3003ff901
15,The Weeknd,Creepin' (with The Weeknd & 21 Savage),175,Pop,99.0,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
16,Kendrick Lamar,family ties (with Kendrick Lamar),262,Hip Hop/ Rap,91.0,https://i.scdn.co/image/ab67616d0000b273163028c67a1f4a7c0e83a715
17,Teknical Development.is,Move with Us,212,Hip Hop/ Rap,27.0,https://i.scdn.co/image/ab67616d0000b27368eb79c7bdb9e3ea8fe9cf50
18,The Nude Party,Feels Alright,393,Rock,53.0,https://images.genius.com/138d06def41ad755b5fef0e7390b0778.700x700x1.jpg
19,The Weeknd,Starboy,178,Pop,99.0,https://i.scdn.co/image/ab67616d0000b273a07ff4ebd6264e7c124c3bdd
